temperature_1_max,temperature_1_min,temperature_1_std,temperature_2_max,temperature_2_min,temperature_2_std,temperature_3_max,temperature_3_min,temperature_3_std,temperature_4_max,temperature_4_min,temperature_4_std,label,temperature_1,temperature_2,temperature_3,temperature_4,temperature_1_lag1,temperature_1_lag2,temperature_2_lag1,temperature_2_lag2,temperature_3_lag1,temperature_3_lag2,temperature_4_lag1,temperature_4_lag2
495.3,437.0,0.1433592360224707,478.9,420.1,0.5259887425673392,578.2,524.9,0.3583051987543397,546.2,509.0,0.3217215332476499,0,465.1539239223545,452.68281839578,555.6434032991573,525.7224865979305,465.2326018808778,465.61770491803287,454.5150470219437,452.9655737704918,556.6228840125392,553.9111475409836,525.5974921630094,525.9744262295083
495.8,436.1,0.1146250940158865,479.5,420.1,0.6374643124428586,578.2,525.3,0.2178922491943308,546.2,509.0,0.3695618871203896,0,465.3407475815987,453.592122252956,557.0097200254526,525.4503380067698,464.61146496815286,465.2326018808778,450.5678343949044,454.5150470219437,556.396178343949,556.6228840125392,525.5955414012739,525.5974921630094
495.8,436.1,0.3704901839559476,479.5,420.1,0.9041261568727758,579.1,525.3,0.4395711651941472,545.6,509.6,0.0837226391983161,1,465.504798854748,453.2722314432527,557.9318422927169,525.2667005539533,466.1781758957655,464.61146496815286,455.6934853420197,450.5678343949044,558.0100977198696,556.396178343949,525.157980456026,525.5955414012739
495.9,436.1,0.3589086052104479,479.5,420.1,0.9205430663621912,579.1,525.3,0.5213387848791707,545.7,509.6,0.1136293160096167,0,466.1085776330076,454.6344191096634,558.4839305103148,525.3507057546145,465.7247557003257,466.1781758957655,453.55537459283386,455.6934853420197,559.3892508143323,558.0100977198696,525.0465798045603,525.157980456026
495.9,438.8,0.1790037245103428,478.1,424.2,0.3520157881175833,579.1,529.3,0.1410120621356052,545.7,508.6,0.169300711893721,0,466.3081103989352,454.5261605547967,558.7279839585303,525.4297660327134,466.42280130293153,465.7247557003257,454.6543973941368,453.55537459283386,558.0524429967427,559.3892508143323,525.8475570032574,525.0465798045603
495.9,437.4,0.3239375376547464,478.1,402.8,2.818877583439546,579.5,504.2,4.429280627818587,549.7,508.6,0.8922772512703443,0,463.97708323487495,450.0419406678943,554.5173890415358,526.3177839259142,466.7767741935484,466.42280130293153,455.3687096774193,454.6543973941368,558.7422580645161,558.0524429967427,525.3951612903226,525.8475570032574
495.7,434.6,0.3839007222495173,478.1,402.8,2.512580216380379,579.5,504.2,3.9454832487868936,549.7,492.2,1.6219737207677458,0,462.4031387145429,446.3399372354401,553.6842091178904,522.7284907312801,458.73167420814485,466.7767741935484,440.10271493212673,455.3687096774193,546.7574660633485,558.7422580645161,527.7106334841629,525.3951612903226
494.7,431.7,0.1540013764605936,473.7,402.8,2.1248661539509484,579.5,504.2,3.87705390252345,549.7,492.2,1.6219973333593978,0,460.57886744870666,444.3711594221749,553.026228706946,522.3295535795005,461.7009677419355,458.73167420814485,443.5483870967742,440.10271493212673,555.5529032258064,546.7574660633485,515.0796774193549,527.7106334841629
491.8,431.7,0.4026382835640172,476.5,409.5,0.3673312598617309,580.0,521.0,0.8817871008026745,549.9,492.2,0.8416425936708005,0,462.0169342418112,448.7660740267575,557.7662592710884,522.2683633202031,461.30396039603954,461.7009677419355,449.4623762376237,443.5483870967742,556.7683168316831,555.5529032258064,524.1983498349836,515.0796774193549
492.8,431.7,0.2839507250996858,476.5,414.3,0.8882412477553063,580.0,527.0,0.797715473510474,549.9,506.7,0.3337218991468851,0,462.6688843884388,451.2620662066206,558.4210274598888,525.4684275570414,463.04587458745874,461.30396039603954,453.2874587458745,449.4623762376237,560.9775577557756,556.7683168316831,527.5270627062706,524.1983498349836
494.1,435.3,0.1445150765740804,478.5,420.6,0.6716416292054324,580.0,528.4,0.831237780653346,549.9,506.7,0.2629242896142649,0,463.9468405722151,453.15015570636007,559.558562200205,526.1769819980118,463.65681818181815,463.04587458745874,451.03636363636366,453.2874587458745,557.5172077922077,560.9775577557756,524.6798701298701,527.5270627062706
494.1,437.0,0.2572041184201495,481.0,421.6,0.649285957134965,581.2,528.4,0.7515474835043162,547.4,506.1,0.3086050614583133,0,464.4400180984368,454.5687769495919,559.9461732414393,525.0767558841952,465.1378289473684,463.65681818181815,455.1266447368421,451.03636363636366,560.1809210526316,557.5172077922077,526.3240131578947,524.6798701298701
494.3,437.4,0.2573658808213572,481.0,421.6,0.4935903068272931,581.2,528.4,0.5223100556264412,547.4,506.1,0.4762088445536466,0,464.9513619288982,456.2100326437888,561.2850996200717,525.6483895881819,464.5254071661237,465.1378289473684,457.54332247557,455.1266447368421,562.1403908794788,560.1809210526316,524.2263843648209,526.3240131578947
494.3,438.1,0.1578452623587002,481.0,425.8,0.6658681845542052,581.2,532.7,0.2495609077336655,547.3,506.1,0.5475965168586671,1,464.8884254823899,455.5830682761704,561.4339429293252,525.1167468579904,465.1908496732026,464.5254071661237,455.9601307189542,457.54332247557,561.5339869281047,562.1403908794788,526.39477124183,524.2263843648209
494.3,438.7,0.3633146844944656,478.6,426.0,0.3557827283133994,580.6,533.2,0.3238564824063785,547.3,506.2,0.5157753270460962,0,464.69831708275296,454.0525618772099,560.0175284831602,525.1996460587878,464.9490196078432,465.1908496732026,453.24575163398697,455.9601307189542,560.6274509803923,561.5339869281047,524.7290849673202,526.39477124183
