timestamp,part_id,temperature_1_max,temperature_1_min,temperature_1_std,temperature_2_max,temperature_2_min,temperature_2_std,temperature_3_max,temperature_3_min,temperature_3_std,temperature_4_max,temperature_4_min,temperature_4_std,label,original_row
2024-02-16 15:58:04+05:30,2124077452449042,469.7,412.2,17.620091701915,450.3,393.3,17.038430260592943,556.3,502.9,16.144439746290576,525.2,482.1,12.317965217041763,0,47569
2024-02-16 16:18:30+05:30,2124077453119042,478.4,416.7,17.66576110342111,460.5,398.3,17.70577866165324,559.9,511.1,15.825189666524341,530.5,488.7,12.218561900438425,0,48491
2024-02-16 16:50:18+05:30,2124077454069042,479.8,420.5,17.656667528878604,456.8,404.0,16.55418430500736,561.6,513.4,15.713933251246814,532.4,493.7,11.968790020610792,0,49407
2024-02-16 17:15:52+05:30,2124077454569042,482.4,422.7,17.89884099912883,459.9,403.3,17.018112462495083,568.7,515.0,15.93932152538128,539.1,497.9,12.374505703956505,0,50633
2024-02-16 17:31:10+05:30,2124077454999042,483.3,426.1,17.70355098541262,462.1,407.2,17.06434119237305,568.7,522.7,15.276017074860679,540.4,500.0,12.23977877391656,0,51551
2024-02-16 17:46:25+05:30,2124077455469042,483.0,428.1,17.45216224282981,463.6,410.3,17.017731104873143,570.1,524.2,15.127489682682846,539.4,500.3,12.126853514985115,0,52466
2024-02-16 18:06:51+05:30,2124077456059042,482.8,426.6,17.409805715523593,465.1,409.1,16.887459909857085,571.6,524.1,15.36711029039621,539.4,499.9,12.208218004207072,0,53386
2024-02-16 18:28:34+05:30,2124077456669042,488.8,426.3,18.39360280347775,467.7,400.9,18.648619127838945,571.0,506.5,17.686993284559325,538.7,493.9,11.892512299755147,0,54689
2024-02-16 18:48:55+05:30,2124077457269042,486.3,429.9,17.489447435270193,470.8,415.9,17.219646459133305,569.6,519.9,16.075770004940274,539.7,496.0,12.393635081780415,0,55607
2024-02-16 19:29:44+05:30,2124077458509042,485.1,428.9,17.317324107186188,470.5,414.4,16.981844587529334,572.7,522.7,15.546693291707868,542.9,501.1,12.239954640271067,0,56830
2024-02-16 20:00:30+05:30,2124077459529042,485.4,427.5,17.572620641171973,466.0,410.6,17.057083949357146,574.3,525.9,15.525088826996987,543.7,502.9,12.153043395968341,0,58064
2024-02-16 20:22:09+05:30,2124077460279042,485.7,427.6,17.61010735501562,467.4,405.5,17.914805143492984,576.5,519.3,16.50666013100853,545.3,505.3,11.944411945959521,0,59059
2024-02-16 20:37:37+05:30,2124077460799042,492.3,430.3,18.038258296421283,465.4,402.9,17.27564987273886,575.6,516.0,16.942804237652197,546.8,499.6,12.466914790809092,0,59987
2024-02-16 21:03:01+05:30,2124077461549042,487.4,429.3,17.576329778636055,468.6,412.3,17.114519189803435,576.1,526.2,15.337094786614712,547.5,504.3,12.273010209028937,0,61209
2024-02-16 21:48:56+05:30,2124077463109042,488.2,426.1,17.50558149265174,471.6,409.0,17.512675500978645,581.0,530.1,15.334773589079939,551.1,504.4,12.527832772505894,0,62427
